project, ground truth state, ground truth transition, result, result state, result transition, recall, precision, test_case_accuracy
RefrigeratedTransportation, 5, 8, Ktail-2.gv, 8, 13, 0.7083333333333334, 0.6522556390977443, 1.0
RefrigeratedTransportation, 5, 8, contractorplus.gv, 5, 9, 0.71875, 0.3033175355450237, 1.0
RefrigeratedTransportation, 5, 8, FSM-2.gv, 4, 5, 0.71875, 0.6346153846153846, 1.0
HelloBlockchain, 3, 3, Ktail-1.gv, 4, 4, 1.0, 1.0, 1.0
HelloBlockchain, 3, 3, SEKT-2.gv, 5, 5, 1.0, 1.0, 1.0
HelloBlockchain, 3, 3, FSM-1.gv, 3, 3, 1.0, 1.0, 1.0
HelloBlockchain, 3, 3, SEKT-1.gv, 4, 4, 1.0, 1.0, 1.0
HelloBlockchain, 3, 3, FSM-0.gv, 2, 3, 1.0, 0.16, 1.0
HelloBlockchain, 3, 3, Ktail-2.gv, 5, 5, 1.0, 1.0, 1.0
HelloBlockchain, 3, 3, contractorplus.gv, 3, 3, 1.0, 1.0, 1.0
AssetTransfer, 11, 32, Ktail-1.gv, 24, 65, 0.551, 0.4987967270977058, 0.9315068493150684
AssetTransfer, 11, 32, FSM-12.gv, 12, 25, 0.8356, 0.22577519379844962, 0.9657534246575342
AssetTransfer, 11, 32, FSM-5.gv, 7, 19, 0.86, 0.16473988439306358, 0.9863013698630136
AssetTransfer, 11, 32, SEKT-2.gv, 40, 71, 0.516, 0.43353923587279797, 0.7671232876712328
AssetTransfer, 11, 32, FSM-3.gv, 5, 17, 0.9954, 0.02877697841726619, 0.9931506849315068
AssetTransfer, 11, 32, FSM-6.gv, 8, 23, 0.8567, 0.1860920666013712, 0.9863013698630136
AssetTransfer, 11, 32, FSM-1.gv, 3, 11, 0.9954, 0.0, 0.9931506849315068
AssetTransfer, 11, 32, SEKT-1.gv, 24, 65, 0.551, 0.4873417721518987, 0.9315068493150684
AssetTransfer, 11, 32, FSM-10.gv, 11, 24, 0.8356, 0.1702127659574468, 0.9657534246575342
AssetTransfer, 11, 32, FSM-8.gv, 10, 24, 0.8372, 0.17135325131810195, 0.9657534246575342
AssetTransfer, 11, 32, FSM-9.gv, 11, 24, 0.8356, 0.18256410256410258, 0.9657534246575342
AssetTransfer, 11, 32, FSM-11.gv, 11, 24, 0.8356, 0.18431771894093688, 0.9657534246575342
AssetTransfer, 11, 32, FSM-4.gv, 6, 19, 0.9291, 0.09541984732824428, 0.9931506849315068
AssetTransfer, 11, 32, FSM-0.gv, 2, 10, 0.9954, 0.0, 0.9931506849315068
AssetTransfer, 11, 32, Ktail-2.gv, 40, 71, 0.516, 0.4392398733122187, 0.7671232876712328
AssetTransfer, 11, 32, FSM-13.gv, 13, 26, 0.8356, 0.21020282728948986, 0.9657534246575342
AssetTransfer, 11, 32, contractorplus.gv, 13, 53, 0.9234, 0.1138, 1.0
AssetTransfer, 11, 32, FSM-7.gv, 9, 24, 0.8567, 0.16381156316916487, 0.9863013698630136
