project, ground truth state, ground truth transition, result, result state, result transition, recall, precision, test_case_accuracy
RefrigeratedTransportation, 5, 8, FSM-4.gv, 6, 12, 0.8615916955017301, 0.6406660823838738, 1.0
RefrigeratedTransportation, 5, 8, FSM-0.gv, 2, 4, 1.0, 0.47959183673469385, 1.0
RefrigeratedTransportation, 5, 8, Ktail-2.gv, 13, 21, 0.8615916955017301, 1.0, 1.0
RefrigeratedTransportation, 5, 8, contractorplus.gv, 5, 15, 1.0, 1.0, 1.0
RefrigeratedTransportation, 5, 8, FSM-7.gv, 6, 12, 0.8615916955017301, 1.0, 1.0
RefrigeratedTransportation, 5, 8, FSM-2.gv, 4, 7, 0.9204152249134948, 0.6506024096385542, 1.0
HelloBlockchain, 3, 3, Ktail-1.gv, 6, 21, 1.0, 0.4112676056338028, 1.0
HelloBlockchain, 3, 3, SEKT-2.gv, 59, 260, 1.0, 0.4218360750241914, 1.0
HelloBlockchain, 3, 3, SEKT-1.gv, 6, 21, 1.0, 0.37765205091937765, 1.0
HelloBlockchain, 3, 3, FSM-0.gv, 2, 3, 1.0, 0.4939759036144578, 1.0
HelloBlockchain, 3, 3, Ktail-2.gv, 59, 260, 1.0, 0.4220739092819182, 1.0
HelloBlockchain, 3, 3, contractorplus.gv, 2, 3, 1.0, 0.4117647058823529, 1.0
AssetTransfer, 11, 32, Ktail-1.gv, 27, 79, 0.8424554982532024, 0.9285958498803356, 0.9115646258503401
AssetTransfer, 11, 32, FSM-12.gv, 13, 35, 0.9761104641490601, 0.8038337427154072, 0.9795918367346939
AssetTransfer, 11, 32, FSM-5.gv, 7, 22, 0.9930128098486108, 0.2117252931323283, 0.9863945578231292
AssetTransfer, 11, 32, SEKT-2.gv, 49, 95, 0.7664947596073864, 0.8530502821160261, 0.7755102040816326
AssetTransfer, 11, 32, FSM-3.gv, 5, 18, 0.9971053069372816, 0.19146647543922554, 0.9863945578231292
AssetTransfer, 11, 32, FSM-6.gv, 8, 23, 0.9930128098486108, 0.20135338345864662, 0.9863945578231292
AssetTransfer, 11, 32, FSM-1.gv, 3, 12, 1.0, 0.25316455696202533, 1.0
AssetTransfer, 11, 32, FSM-14.gv, 14, 35, 0.9755781068041923, 0.8247390066434672, 0.9795918367346939
AssetTransfer, 11, 32, SEKT-1.gv, 27, 79, 0.8424554982532024, 0.9278366788561206, 0.9115646258503401
AssetTransfer, 11, 32, FSM-10.gv, 12, 33, 0.9761104641490601, 0.805533709873454, 0.9795918367346939
AssetTransfer, 11, 32, FSM-8.gv, 10, 28, 0.9761104641490601, 0.7573136466310396, 0.9795918367346939
AssetTransfer, 11, 32, FSM-9.gv, 11, 32, 0.9761104641490601, 0.7601655389870591, 0.9795918367346939
AssetTransfer, 11, 32, FSM-11.gv, 13, 35, 0.9761104641490601, 0.8027118644067797, 0.9795918367346939
AssetTransfer, 11, 32, FSM-4.gv, 6, 19, 0.9971053069372816, 0.1805965257292691, 0.9863945578231292
AssetTransfer, 11, 32, FSM-0.gv, 2, 11, 1.0, 0.14414414414414414, 1.0
AssetTransfer, 11, 32, Ktail-2.gv, 49, 95, 0.7664947596073864, 0.8526831581443136, 0.7755102040816326
AssetTransfer, 11, 32, FSM-13.gv, 14, 35, 0.9755781068041923, 0.8233908448462469, 0.9795918367346939
AssetTransfer, 11, 32, contractorplus.gv, 14, 59, 0.991615371818333, 0.8146539970213748, 1.0
AssetTransfer, 11, 32, FSM-15.gv, 15, 36, 0.9755781068041923, 0.8165428807211325, 0.9795918367346939
AssetTransfer, 11, 32, FSM-7.gv, 9, 25, 0.9872234237231742, 0.3411764705882353, 0.9863945578231292
AssetTransfer, 11, 32, FSM-17.gv, 15, 36, 0.9745799367825653, 0.8166969147005445, 0.9795918367346939
AssetTransfer, 11, 32, FSM-16.gv, 16, 36, 0.9745799367825653, 0.8175718048413395, 0.9795918367346939
AssetTransfer, 11, 32, FSM-2.gv, 4, 17, 1.0, 0.19675925925925927, 1.0
BasicProvenance, 4, 4, Ktail-1.gv, 5, 7, 1.0, 1.0, 1.0
BasicProvenance, 4, 4, SEKT-2.gv, 5, 7, 1.0, 1.0, 1.0
BasicProvenance, 4, 4, FSM-1.gv, 3, 3, 1.0, 1.0, 1.0
BasicProvenance, 4, 4, SEKT-1.gv, 5, 7, 1.0, 1.0, 1.0
BasicProvenance, 4, 4, FSM-0.gv, 2, 3, 1.0, 0.4578313253012048, 1.0
BasicProvenance, 4, 4, Ktail-2.gv, 5, 7, 1.0, 1.0, 1.0
BasicProvenance, 4, 4, contractorplus.gv, 3, 3, 1.0, 1.0, 1.0
BasicProvenance, 4, 4, FSM-2.gv, 4, 5, 1.0, 1.0, 1.0
DefectiveComponentCounter, 3, 2, Ktail-1.gv, 3, 3, 1.0, 0.8809523809523809, 1.0
DefectiveComponentCounter, 3, 2, SEKT-2.gv, 5, 5, 1.0, 0.6666666666666666, 1.0
DefectiveComponentCounter, 3, 2, SEKT-1.gv, 3, 3, 1.0, 0.8636363636363636, 1.0
DefectiveComponentCounter, 3, 2, FSM-0.gv, 2, 2, 1.0, 0.6666666666666666, 1.0
DefectiveComponentCounter, 3, 2, Ktail-2.gv, 5, 5, 1.0, 0.6666666666666666, 1.0
DefectiveComponentCounter, 3, 2, contractorplus.gv, 2, 2, 1.0, 0.6666666666666666, 1.0
