,./mbt_myth_CryptoPunksMarket.log-mbt,./mbt_myth_GameChannel.log-mbt,./mbt_myth_MoonCatRescue.log-mbt,./mbt_myth_RpsGame.log-mbt,./mbt_myth_SaleClockAuction.log-mbt,./mbt_myth_SupeRare.log-mbt,./random_myth_CryptoPunksMarket.log-random,./random_myth_GameChannel.log-random,./random_myth_MoonCatRescue.log-random,./random_myth_RpsGame.log-random,./random_myth_SaleClockAuction.log-random,./random_myth_SupeRare.log-random
0,1.4237721964485683,1.225697379543533,1.7632552404438966,3.4354688950789227,2.497468781640229,1.2989323843416367,2.3942835812936596,4.309312482389406,2.494862309905466,6.236459300526154,14.236697041286982,4.11032028469751
1,3.0075187969924815,2.60989010989011,3.6004932182490754,5.942432683379757,4.5561930475869055,3.078291814946619,2.7542259905081856,9.213863060016905,3.7279079325935065,10.840297121634167,18.93913826077174,6.390865954922894
2,7.90273556231003,3.2650042265426875,5.487053020961775,7.520891364902508,7.762402969962875,5.0711743772242,5.212499333439983,11.777965624119469,5.055487053020962,13.20024760136181,28.535268309146133,8.615065243179123
3,9.374500079987202,4.099746407438715,7.114673242909987,9.517177344475394,11.441106986162673,7.473309608540924,7.857409481149683,15.379332206255283,5.782983970406906,18.020736614051376,30.515243559455502,9.611506524317912
4,10.640964112408682,4.723161453930685,8.347718865598027,12.02414113277623,16.301046236922037,8.629893238434164,9.113208553298138,20.069033530571996,6.724208795725442,20.94552770040235,32.75959050511869,11.198102016607356
5,15.68015784141204,5.557903634826712,9.313604603370324,14.46146703806871,44.61131735853301,11.370106761565836,9.473150962512664,22.847985347985347,8.004521167283189,23.746518105849585,34.28394645066937,12.022538552787664
6,21.159281181677596,8.210059171597633,13.13810110974106,17.59517177344475,44.61131735853301,13.623962040332147,9.913080573774863,25.125035221189066,9.465680230168516,24.059888579387188,35.97705028687142,13.72182680901542
7,21.508558630619106,9.277261200338122,14.652692149609535,38.64902506963789,54.56181797727529,13.879003558718862,10.451661067562524,25.86115807269653,10.160295930949445,24.97678737233055,39.50950613117336,14.730130486358242
8,25.6838905775076,10.376162299239224,14.940402794903411,38.67223769730733,62.95421307233659,13.890865954922894,10.624966671999147,30.677655677655675,10.826140567200985,27.847415660786137,40.51074361570481,15.234282325029655
9,26.987681970884662,12.06677937447168,20.480887792848335,38.67223769730733,62.95421307233659,15.483392645314353,11.806111022236442,33.59749225133841,11.029593094944511,29.553543794490874,45.08943638204522,15.69988137603796
10,26.987681970884662,13.535502958579881,20.499383477188655,42.50232126276695,65.27730903363708,15.483392645314353,12.299365434863754,34.65412792335869,11.54130702836005,30.977251624883937,45.08943638204522,15.774021352313168
11,30.829733909241188,14.275147928994086,22.98397040690506,46.32079851439183,69.98537518281022,15.495255041518385,12.792619847491068,36.45216962524655,12.318125770653515,31.29062209842154,47.53628079649005,16.153618030842228
12,30.829733909241188,16.652578191039733,24.060830250719278,50.081244196843095,70.0134998312521,17.08778173190985,13.397856342985122,38.03360101437025,13.082614056720097,36.38192510058805,48.45314433569581,17.55041518386714
13,30.829733909241188,18.20583262890955,24.060830250719278,50.081244196843095,70.21037237034537,21.467971530249116,14.029755239161736,39.62207664130741,13.253185367858611,37.03574744661096,48.45314433569581,17.841043890865958
14,30.829733909241188,20.509298393913777,26.000822030415126,50.081244196843095,70.21037237034537,21.479833926453143,14.120407401482431,40.803747534516766,13.592272914097821,37.03574744661096,51.92372595342559,18.73962040332147
15,31.07236175545246,26.236263736263737,26.000822030415126,50.081244196843095,70.21037237034537,23.113879003558722,15.389537673972166,41.52930402930403,13.777229757501027,37.83271432992882,52.96996287546406,19.056939501779357
16,31.07236175545246,27.36686390532544,26.006987258528568,50.09285051067781,70.21037237034537,23.20284697508897,15.584173198954835,43.915539588616504,13.980682285244555,38.62968121324668,52.96996287546406,19.169632265717674
17,32.829413960432994,28.719357565511412,26.006987258528568,50.09285051067781,70.21037237034537,23.214709371293,15.725483922572389,44.2113975767822,13.980682285244555,38.62968121324668,52.96996287546406,19.29715302491103
18,32.829413960432994,29.448436179205405,30.039046444718455,50.09285051067781,70.21037237034537,23.34223013048636,15.904122007145522,44.57769794308256,14.145088368269626,39.0281646549056,54.01619979750254,19.42467378410439
19,32.829413960432994,32.98816568047337,30.057542129058778,50.09285051067781,70.21037237034537,23.34223013048636,16.14408361328854,45.74880247957171,14.86025482942869,39.0281646549056,54.01619979750254,20.26097271648873
20,32.829413960432994,32.98816568047337,30.242498972461984,50.09285051067781,70.21037237034537,23.354092526690394,16.285394336906094,46.240138067061146,15.312371557747637,39.0281646549056,54.44369445381934,20.34994068801898
21,35.71695195435397,32.98816568047337,30.242498972461984,50.09285051067781,70.21037237034537,23.493475682087787,17.24790700154642,46.354606931530014,15.497328401150844,39.0281646549056,54.44369445381934,20.34994068801898
22,35.71695195435397,32.98816568047337,30.248664200575423,50.09285051067781,70.21037237034537,23.493475682087787,18.255745747347092,46.70857988165681,15.696670776818742,40.45187248529867,54.44369445381934,20.762158956109133
23,35.71695195435397,32.98816568047337,30.248664200575423,50.09285051067781,70.21037237034537,23.493475682087787,18.255745747347092,47.5450831220062,15.789149198520347,40.765242958836275,54.44369445381934,21.426453143534996
24,35.71695195435397,32.98816568047337,32.35511713933416,50.09285051067781,70.21037237034537,23.62099644128114,18.255745747347092,47.5450831220062,16.919441019317713,40.776849272671,55.1693103836202,22.514827995255043
25,35.71695195435397,32.98816568047337,32.36128236744759,50.09285051067781,70.21037237034537,23.62099644128114,18.4903748733536,47.967737390814314,16.919441019317713,40.78845558650573,55.1693103836202,22.588967971530252
